Review,Rating,Review_clean,sentiment
If you're tiny it will be slightly too big,4,tiny slightly big,0.0
Odd skirt,3,odd skirt,-0.3182
"See through , especially when they get wet",1,  especially wet,0.0
Who designed this shirt?,3,design shirt,0.0
"Great sweater, not crazy about the collar",3,great sweater crazy collar,0.4019
At your belt line,4,belt line,0.0
Came in a different color. Short.,1,come different color short,0.0
Not too bad for workouts,3,bad workout,-0.5423
Very hip,4,hip,0.0
Horrible fit.,1,horrible fit,-0.25
Really odd fit!,2,odd fit,0.0516
Needs a belt,4,need belt,0.0
XL runs big,3,xl run big,0.0
Swimming - size down,3,swimming   size,0.0
How do you spell my-mu?,2,spell mymu,0.0
Comfy & Sassy,4,comfy   sassy,0.0
Shirt for men not for women,1,shirt man woman,0.0
Love this swimsuit!,5,love swimsuit,0.6369
Not to fancy,4,fancy,0.0
Many compliments about this dress!,5,compliment dress,0.4767
Brest jacket  I’ve found in many years,5,brest jacket   ve find year,0.0
Tent,2,tent,0.0
Neck tight,3,neck tight,0.0
Lo recomiendo,5,lo recomiendo,0.0
Two silhouettes in one,3,silhouette,0.0
"Love,love",5,lovelove,0.0
Pretty bad in real life,1,pretty bad real life,-0.0772
Most flattering suit i've ever seen,5,flattering suit ve see,0.3182
Can't stop wearing it,4,not stop wear,0.2235
Stylish flair,5,stylish flair,0.0
Seriously?!?!,1,seriously,-0.1779
"A good idea, but...",2,good idea,0.4404
"Pretty color, but wrong fit",3,pretty color wrong fit,0.3818
"Beautiful, but narrow",3,beautiful narrow,0.5994
Love the look!,5,love look,0.6369
Low quality pants,2,low quality pant,-0.2732
Simple but overpriced,3,simple overpriced,0.0
They are way too long. Below the knees.,1,way long knee,0.0
Too Small !,2,small,0.0
Gorgeous but tent like,4,gorgeous tent like,0.7579
"Good quality, cute print but not flattering",3,good quality cute print flattering,0.802
Pequeño,1,pequeño,0.0
Preciosa.,5,preciosa,0.0
Not that clean...,1,clean,0.4019
Hor,5,hor,0.0
Red,1,red,0.0
Holds up well,3,hold,0.0
Quality is just not there...,2,quality,0.0
Could have been cute...,1,cute,0.4588
He did not like,2,like,0.3612
Poor quality materials,2,poor quality material,-0.4767
Nice basic t-shirt (for girls too!),5,nice basic tshirt girl,0.4215
These are thick and hot,3,thick hot,0.0
After a few washes sticking comes apart,5,wash stick come apart,0.0
Looks like Grammy clothes.,2,look like grammy clothe,0.3612
Voluminous eye catching dress,4,voluminous eye catch dress,0.0
Extremely tight through the crotch.,2,extremely tight crotch,0.0
Chambray vest,5,chambray vest,0.0
High slit,2,high slit,0.0
Huge blouse,2,huge blouse,0.3182
Will not stay down,1,stay,0.0
Lovely but not a fit for me :(,4,lovely fit,0.743
Still love it even if...,4,love,0.6369
Abahdjx,1,abahdjx,0.0
Everything is great except the pockets,1,great pocket,0.6249
"Cute sweater, as described by seller",5,cute sweater describe seller,0.4588
Xl sizes arent!,2,xl size not,0.0
Looks better than the picture!,5,look well picture,0.2732
"Super-thin fabric, but really pretty",4,superthin fabric pretty,0.4939
Great design with cheap fabric. not worth it.,2,great design cheap fabric worth,0.7184
Pretty but had to return,3,pretty return,0.4939
Scam,1,scam,-0.5719
Fits way to small,2,fit way small,0.3612
Not worth the $$,2,worth,0.2263
Stiff silver lace,2,stiff silver lace,0.0
Perfect fall tunic!,5,perfect fall tunic,0.5719
Hole after one use!,1,hole use,0.0
Light and thin.,4,light thin,0.0
Great for athletic bodies,5,great athletic body,0.6249
Very disappointing!!!!,2,disappointing,-0.4939
Size down if you like a tighter fit.,5,size like tighter fit,0.6124
Negative Experience,1,negative experience,-0.5719
"Nice shirt, shrunk a lot in length after washing",3,nice shirt shrink lot length washing,0.4215
"Cute top, poor quality",2,cute poor quality,-0.0258
Not 100% cotton and not as heavy gauge material as they used to be.,3,100 cotton heavy gauge material,0.0
Very cute but cheaply made,2,cute cheaply,0.4588
Not as pictured.,2,picture,0.0
The material is way too stiff.,2,material way stiff,0.0
Maaji patchwork top,5,maaji patchwork,0.0
Not for slim hips,4,slim hip,0.0
A nice transition top,4,nice transition,0.4215
Great top- bottoms run super small - order up,4,great bottom run super small   order,0.8402
Comfy and feminine,5,comfy feminine,0.0
Frumpy fit,1,frumpy fit,0.3612
Hole in pocket after wearing twice,2,hole pocket wear twice,0.0
I ordered this and it is WAY to big,2,order way big,0.0
Love everything about this skirt,5,love skirt,0.6369
Comfortable brilliantly colored tank,4,comfortable brilliantly colored tank,0.8074
Beautiful dress--if you can figure out your size!,4,beautiful dressif figure size,0.5994
Pretty good for $14,4,pretty good 14,0.7269
Wrangler cowboy cut denims,1,wrangl cowboy cut denim,-0.2732
A lil tight but what I usually get when I buy jeans from Amazon that aren't a popular brand,3,lil tight usually buy jean amazon not popular brand,-0.1611
Flairs out at bottom,3,flair,0.0
"Classic, pretty dress",5,classic pretty dress,0.4939
Ok!,4,ok,0.296
Beautiful dress but it runs very large,2,beautiful dress run large,0.5994
DO NOT BUY,1,buy,0.0
Wrinkles slightly,4,wrinkles slightly,0.0
Easy go to sweater!,5,easy sweater,0.4404
